id,name,description,xrefs,parents
0000052,fornix of brain,"A C-shaped bundle of fibres (axons) in the brain, and carries signals from the hippocampus to the mammillary bodies and septal nuclei. It is typically divided into the columns (crus), body, commissure and the pre-commissural and post-commissural fornix (MM).",BAMS:f|BIRNLEX:705|DHBA:10576|DMBA:17767|EMAPA:35352|FMA:61965|FMA:83865|HBA:9249|MA:0002747|NCIT:C32289|UMLS:C0152334|UMLS:C0458370|neuronames:268,BFO:0000050 some RO:0002577|BFO:0000050 some UBERON:0002421|UBERON:0007702|UBERON:0010314|obo:uberon/core#extends_fibers_into some UBERON:0002206|obo:uberon/core#extends_fibers_into some UBERON:0002663
0000053,macula lutea,"An oval area in the retina, usually located temporal to the posterior pole of the eye and slightly below the level of the optic disk. It is characterized by the presence of a yellow pigment diffusely permeating the inner layers, contains the fovea centralis in its center, and provides the best phototopic visual acuity. It is devoid of retinal blood vessels, except in its periphery, and receives nourishment from the choriocapillaris of the choroid. (From Cline et al., Dictionary of Visual Science, 4th ed).",BIRNLEX:2540|BTO:0003015|EMAPA:36516|EV:0100349|FMA:58637|GAID:909|MA:0001306|MESH:D008266|NCIT:C26464|NCIT:C33044|UMLS:C0450295|UMLS:C0450295|UMLS:C1284755,BFO:0000050 some UBERON:0000966|UBERON:0000064|UBERON:0004121
0000054,macula,"Thickened areas of the saccule or utricle where the termination of the vestibular nerve occurs[MESH,modified].",GAID:777|MESH:D008267|TAO:0000386|ZFA:0000386,BFO:0000050 some UBERON:0001846|BFO:0000051 some GO:0070451|UBERON:0000479|UBERON:0004121|UBERON:0010314
0000056,ureter,"Muscular duct that propels urine from the kidneys to the urinary bladder, or related organs.",AAO:0010254|BTO:0001409|CALOHA:TS-1084|EFO:0000930|EHDAA2:0002139|EHDAA:9341|EMAPA:17950|EV:0100097|FMA:9704|GAID:438|MA:0000378|MAT:0000120|MESH:D014513|MIAA:0000120|NCIT:C12416|UMLS:C0041951|VHOG:0000605|XAO:0000144|galen:Ureter,BFO:0000050 some UBERON:0002355|BFO:0000050 some UBERON:0011143|BFO:0000050 some UBERON:0036295|BSPO:0000126 some UBERON:0000468|RO:0002202 some UBERON:0005081|UBERON:0004120|UBERON:0005179|UBERON:0006555|UBERON:0015212|obo:uberon/core#channel_for some UBERON:0001088|obo:uberon/core#channels_from some UBERON:0001224|obo:uberon/core#channels_into some UBERON:0001255
0000057,urethra,"The fibromuscular tubular canal through which urine is discharged from the bladder to the exterior via the external urinary meatus; in males, the urethra is joined by the ejaculatory ducts and serves as a passageway for semen during ejaculation, as well as a canal for urine during voiding; in females, the urethra is shorter and emerges above the vaginal opening.",BTO:0001426|CALOHA:TS-1132|EFO:0000931|EMAPA:30901|EV:0100099|FMA:19667|GAID:390|MA:0000379|MAT:0000121|MESH:D014521|MIAA:0000121|NCIT:C12417|UMLS:C0041967|VHOG:0001264|XAO:0000153|galen:Urethra,BFO:0000050 some UBERON:0001556|RO:0002150 some UBERON:0001255|RO:0002202 some UBERON:0000164|RO:0002202 some UBERON:0013241|RO:0002216 some GO:0060073|UBERON:0000062|UBERON:0004111|UBERON:0004120|obo:uberon/core#channel_for some UBERON:0001088|obo:uberon/core#channels_from some UBERON:0001255
0000058,duct,A tubular structure that transports secreted or excreted substances.,AAO:0011123|FBbt:00100314|FMA:30320|NCIT:C12948|TAO:0005171|UMLS:C0687028|XAO:0004000|ZFA:0005171|galen:Duct,BFO:0000051 some UBERON:0013686|BFO:0000051 some UBERON:0034969|RO:0000086 some PATO:0002299|UBERON:0000063|obo:uberon/core#conduit_for some UBERON:0000463
0000059,large intestine,A subdivision of the digestive tract that connects the small intestine to the cloaca or anus. Lacks or has few villi[Kardong].,AAO:0010396|BTO:0000706|CALOHA:TS-1306|EFO:0000840|EMAPA:19252|EV:0100077|FMA:7201|GAID:306|MA:0000333|MESH:D007420|MIAA:0000046|NCIT:C12379|UMLS:C0021851|VHOG:0000054|XAO:0000131|galen:LargeIntestine,BFO:0000050 some UBERON:0000160|BFO:0000050 some UBERON:0004907|RO:0002160 some NCBITaxon:7742|RO:0002433 some UBERON:0000160|UBERON:0004921|UBERON:0013765
0000060,anatomical wall,Organ component adjacent to an organ cavity and which consists of a maximal aggregate of organ component layers.,EMAPA:25036|FMA:82482|galen:Wall,BFO:0000051 some UBERON:0004923|RO:0002220 some UBERON:0002553|UBERON:0000064
0000061,anatomical structure,Material anatomical entity that is a single connected structure with inherent 3D shape generated by coordinated expression of the organism's own genome.,AAO:0010825|AEO:0000003|BILA:0000003|CARO:0000003|EHDAA2:0003003|EMAPA:0|FBbt:00007001|FMA:305751|FMA:67135|GAID:781|HAO:0000003|MA:0003000|MESH:D000825|TAO:0000037|TGMA:0001823|VHOG:0001759|XAO:0003000|ZFA:0000037,RO:0002497 some UBERON:0000071|UBERON:0000465
0000062,organ,Anatomical structure that performs a specific function or group of functions [WP].,BIRNLEX:4|CARO:0020004|EFO:0000634|EMAPA:35949|ENVO:01000162|FMA:67498|MA:0003001|NCIT:C13018|UMLS:C0178784|WBbt:0003760,BFO:0000050 some UBERON:0000467|RO:0002002 some UBERON:0006984|RO:0002162 some (not (NCBITaxon:110815))|RO:0002215 some GO:0008150|UBERON:0010000
0000063,organ subunit,"A part of an organ that constitutes a distinct modular sub-unit. In some cases, the organ may also contain other sub-units of identical or similar types, in other cases this may be a distinct entity.",FMA:86140,UBERON:0000064
0000064,organ part,A multicellular structure that is a part of an organ.,AAO:0011124|BIRNLEX:16|EFO:0000635|FMA:82472,BFO:0000050 some UBERON:0000062|UBERON:0010000
0000065,respiratory tract,Anatomical structure that is part of the respiratory system. In mammals consists of upper and lower tracts.,EHDAA2:0001606|EHDAA:1568|EHDAA:2219|EMAPA:16737|FMA:265130|VHOG:0000393,BFO:0000050 some UBERON:0001004|RO:0002202 some UBERON:0007026|RO:0002202 some UBERON:0008947|UBERON:0001005|UBERON:0004119
0000066,fully formed stage,"The stage of development at which the animal is fully formed, including immaturity and maturity. Includes both sexually immature stage, and adult stage.",BTO:0001043|BilaDO:0000004|EFO:0001272|FBdv:00005369|WBls:0000041|XtroDO:0000084,BFO:0000050 some UBERON:0000092|BFO:0000062 some UBERON:0000111|BFO:0000063 some UBERON:0000071|UBERON:0000105
0000068,embryo stage,A life cycle stage that starts with fertilization and ends with the fully formed embryo.,BilaDO:0000002|EV:0300001|FBdv:00005289|FMA:72652|HsapDv:0000002|MmusDv:0000002|OGES:000000|OGES:000022|WBls:0000003|WBls:0000092|WBls:0000102|XAO:1000012,BFO:0000050 some GO:0009790|BFO:0000050 some UBERON:0000104|BFO:0000063 some UBERON:0000066|BFO:0000063 some UBERON:0000092|RO:0002082 some GO:0009790|UBERON:0000105
0000069,larval stage,"A distinct juvenile stage many animals undergo before metamorphosis into adults. Animals with indirect development such as insects, amphibians, or cnidarians typically have a larval phase of their life cycle.",BTO:0000915|BTO:0000954|EFO:0001303|FBdv:00005336|MIAA:0000400|OGES:000008|ZFS:0000048,BFO:0000050 some GO:0002164|BFO:0000050 some UBERON:0000092|RO:0002082 some GO:0002164|RO:0002087 some UBERON:0000068|RO:0002162 some (not (NCBITaxon:32524))|UBERON:0000105
0000070,pupal stage,A life cycle stage of holometabolous insects in which the organism is a pupa and starts with the larval-pupal apolysis and ends with pupal-adult apolysis.,FBdv:00005349,BFO:0000050 some GO:0035209|BFO:0000050 some UBERON:0000092|RO:0002082 some GO:0035209|RO:0002087 some UBERON:0000069|RO:0002160 some NCBITaxon:33392|UBERON:0000105
0000071,death stage,End of the life of an organism.,XAO:0000437|XtroDO:0000085,BFO:0000050 some UBERON:0000104|RO:0002229 some UBERON:0000104|UBERON:0000105
0000072,proximo-distal subdivision of respiratory tract,An section of a respiratory tract.,EMAPA:16737|FMA:45660|MA:0000434,BFO:0000050 some UBERON:0000065|UBERON:0004119|UBERON:0013522
0000073,regional part of nervous system,Any part or collection of parts of the central or peripheral nervous system. Parts may span both CNS and PNS.,BIRNLEX:1157|NCIT:C13040|UMLS:C1518256,BFO:0000050 some NCBITaxon:6072|BFO:0000050 some UBERON:0001016|CARO:0000000|UBERON:0000481
0000074,renal glomerulus,A capillary tuft which forms a close network with the visceral epithelium (podocytes) and the mesangium to form the filtration barrier and is surrounded by Bowman's capsule in nephrons of the vertebrate kidney[GO].,BTO:0000530|CALOHA:TS-0862|EFO:0003667|EMAPA:28329|EV:0100386|FMA:15624|MA:0001657|MESH:D007678|NCIT:C13250|TAO:0001288|UMLS:C0022663|ZFA:0001288,BFO:0000050 some UBERON:0001229|RO:0002202 some UBERON:0005749|RO:0002219 some UBERON:0001230|UBERON:0000064|UBERON:0004120
0000075,subdivision of skeletal system,Anatomical cluster consisting of the skeletal elements and articular elements that are part of an individual subdivision of the organism.,FMA:85544|NCIT:C34076|UMLS:C1519343|galen:ComplexSkeletalStructure,BFO:0000050 some UBERON:0001434|RO:0002160 some NCBITaxon:7711|RO:0002473 some UBERON:0004765|UBERON:0011216
